№ стекла,номер особи,индекс особи,"ширина головы, мм",длина скапуса 1,длина скапуса 2,"длина груди, мм",ширина груди 1,ширина груди 2,ширина груди 3,высота стебелька,ширина стебелька,"ширина брюшка, мм","длина тазик L 1, мм","длина бедро L 1, мм","длина голень L 1, мм","длина лапка L 1, мм","длина тазик L 2, мм","длина бедро L 2, мм","длина голень L 2, мм","длина лапка L 2, мм","длина тазик L 3, мм","длина бедро L 3, мм","длина голень L 3, мм","длина лапка L 3, мм","длина тазик R 1, мм","длина бедро R 1, мм","длина голень R 1, мм","длина лапка R 1, мм","длина тазик R 2, мм","длина бедро R 2, мм","длина голень R 2, мм","длина лапка R 2, мм","длина тазик R 3, мм","длина бедро R 3, мм","длина голень R 3, мм","длина лапка R 3, мм"
1,1,1.1,1.1,1.38,"1,37+0,09","0,60+1,38 слом",0.85,0.78,0.46,0.26,0.35,,0.71,1.29,1.02,"1,23 (0,73)",0.4,1.4,1.19,"0,84+0,2+0,18+0,14+0,17",0.44,1.76,1.59,"1,17+0,28+0,28+0,15+0,12",0.63,1.36,1.06,"0,71+0,18+0,11+0,12+0,16",0.4,1.77,1.56,"1,13+0,32+0,25+0,15+0,2",0.4,1.4,1.19,"0,83+0,27+0,2+0,17+0,12"
1,2,1.2,0.93,"1,09+0,39+0,13 слом","1,46+0,06 шарнир",2.02,0.83,0.65,0.4,,,,0.74,1.42,1.18,"0,72+0,18+0,16+0,9+0,16",0.35,1.49,1.3,"0,87+0,26+0,22+0,16+0,18",0.5,1.87,1.74,"1,25+0,36+0,25+0,17+0,22",0.7,1.44,1.1,"0,75+0,2+0,13+0,1+0,19",0.41,0.53,1.31,"0,91+027+0,21+,,,",0.43,1.87,1.69,"1,19+0,34+0,25+0,14+0,26"
1,3,1.3,1.01,"5,2+0,32","5,19+0,32","1,92 слом",0.79,0.62,0.45,,,,0.64,1.41,1.08,"0,69+0,2+0,11+0,1+0,14",0.43,1.79,1.52,,0.42,1.41,1.23,0.83,0.63,"0,21+1,20",1.03,"0,69+0,18+0,13+0,12+0,13",0.38,1.45,1.26,"0,8+0,27+0,19+0,13+0,18",0.41,1.74,1.56,"1,22+0,37+0,26+0,12+0,25"
1,4,1.4,0.9,"1,26+0,07","1,27+0,06","0,52+0,76","0,63-0,68/1,06",0.51,0.39,0.28,0.38,,0.55,1.28,1,",,,+0,18",0.37,1.29,1.06,"0,78+0,22+0,23+0,1+0,17",0.43,0.61,1.44,"1,06+0,33+0,23+0,13+0,21",0.68,"1,09+0,19",0.98,"0,68+0,13+0,13+0,08+0,13",0.37,1.3,1.09,"0,74+0,24+0,25+0,27+0,21",0.38,1.67,1.42,"1,06+0,34+0,2+0,14+0,24"
2,1,2.1,0.97,"1,3+0,09","1,34+0,06","0,43+слом",0.8,0.5,0.36,0.31,0.37,1.2,0.68,1.34,0.99,"0,41+0,28+0,2+0,16+0,15",0.36,1.43,1.19,,0.45,1.67,1.48,,0.68,1.26,0.99,"0,68+0,17+0,12+0,11+0,13",0.39,"1,57+0,22",1.52,"1,13+,,,",0.46,1.35,1.15,"0,82+0,24+0,21+0,1+0,2"
2,2,2.2,0.85,"1,22+0,07","1,2+0,07",1.67,0.69,0.53,0.34,,,,0.62,1.2,0.94,"0,76+0,12+0,09+0,11+0,09",0.34,1.19,1.03,"0,67+0,25+0,19+0,11+0,15",0.39,1.55,1.34,"1,03+0,3+0,22+0,13+0,16",0.59,1.25,0.92,"0,63+0,18+0,11+0,08+0,14",0.43,1.54,1.36,"1,03+0,29+0,22+0,13+0,19",0.36,1.22,1.02,"0,89+0,2+0,09+0,09+0,14"
2,3,2.3,1.01,1.36,1.45,1.79,0.82,0.56,0.35,0.26,0.42,,0.66,1.31,1,"0,67+0,16+0,11+0,09+0,17",0.36,1.38,1.16,"0,82+0,24+0,16+0,14+0,15",0.47,1.74,1.51,"1,12+0,38+0,1+0,16+0,22",0.6,1.32,1.06,"0,73+0,13+0,1+0,11+0,14",0.34,1.4,1.16,"0,93+0,14+0,17+0,11+0,21",0.44,1.63,1.5,"1,09+0,34+0,19+0,15+0,21"
2,4,2.4,1.02,1.44,,"0,54+1,36",0.84,0.6,0.42,0.26,0.3,1.11,0.7,1.32,1.11,"0,69+,,,",0.39,1.45,1.25,"0,85+0,25+0,2+0,15+0,18",0.52,1.79,1.61,"1,17+0,33+0,23+0,14+0,25",0.71,1.38,1.09,"0,70+0,15+0,13+0,11+0,14",0.37,1.42,1.21,"0,83+0,25+0,2+0,13+0,21",0.47,1.74,1.57,"1,18+0,3+0,23+0,14+0,22"
3,1,3.1,1.04,1.47,1.45,"0,61+1,35",0.84,0.65,0.43,0.28,0.43,1.27,0.76,1.32,1.08,"0,7+0,18+0,15+0,09+0,13",0.37,1.43,1.22,"0,84+0,26+0,17+0,12+0,21",0.5,1.76,1.58,"1,15+0,33+0,26+0,12+0,23",0.63,1.4,1.04,"0,74+0,18+0,14+0,9+0,18",0.42,1.4,1.22,"0,83+0,27+0,19+0,12+0,2",0.45,1.78,1.58,"1,17+0,34+0,21+0,19+0,22"
3,2,3.2,0.89,1.39,1.37,"слом 1,56",,,,0.23,0.35,,0.62,1.22,1.01,"0,64+0,14+0,15+0,07+0,16",0.38,1.32,1.08,"0,76+0,26+0,15+0,10+0,22",0.36,1.67,1.39,"1,05+0,29+0,21+0,14+0,23",0.62,1.23,0.99,"0,65+0,13+0,11+0,07+0,25",0.37,1.27,1.07,"0,76+0,21+0,19+0,10+0,20",0.44,1.52,1.38,"1,06+0,31+0,18+0,13+0,2"
3,3,3.3,0.95,1.35,1.38,"мят 1,8",0.8,0.59,0.39,0.31,,,0.7,1.27,1.01,"0,64+0,18+0,12+0,08+0,14",0.38,1.31,1.17,"0,8+0,21+,,,",0.45,1.67,1.5,"1,12+0,29+0,20+0,12+0,19",0.76,1.13,0.98,"0,67+0,15+0,11+0,11+0,16",0.37,1.34,1.11,"0,83+0,24+0,18+0,12+0,19",0.45,1.66,1.48,"1,13+0,32+0,2+0,13+0,21"
3,4,3.4,0.98,,,"0,54+1,29",0.78,0.61,0.39,,,1.17,0.64,1.3,1.05,"0,70+0,16+0,15+0,07+0,16",0.36,1.36,1.17,"0,82+0,26+0,17+0,13+0,18",0.48,1.66,1.54,"1,10+0,32+0,23+0,12+0,26",0.69,1.2,1.01,"0,69+0,17+0,16+0,1+0,13",0.37,1.4,1.16,"0,83+0,26+0,18+0,14+0,19",0.49,1.66,1.53,"1,11+0,31+0,22+0,11+0,24"
3,5,3.5,0.96,0.39,0.38,1.79,0.75,0.61,0.4,,,,0.6,1.33,1,"0,69+0,16+0,14+0,12+0,1",0.38,1.29,1.13,"0,78+0,26+0,16+0,12+0,21",0.42,1.62,1.42,"1,07+0,31+0,25+0,11+0,24",0.69,1.24,1.02,"0,53+0,16+0,14+0,13+0,19",0.46,1.35,1.12,"0,77+0,24+0,19+0,13+,,,",0.44,1.7,1.47,"1,07+0,29+0,22+0,14+,,,"
4,1,4.1,0.96,1.34,1.41,"0,56+1,29",0.73,0.57,0.36,0.28,0.38,,0.61,1.29,1.01,"0,67+0,15+0,14+0,8+0,15",0.38,1.35,1.12,"0,79+0,23+0,19+0,11+0,20",0.42,"0,15+1,44",1.44,"1,07+0,2+0,12+0,26+,,,",0.61,1.26,1.05,"0,67+0,16+0,14+0,09+0,12",0.35,1.32,1.14,"0,74+0,25+0,18+0,13+0,17",0.4,1.59,1.49,"1,09+0,35+0,26+0,1+0,25"
4,2,4.2,0.98,1.45,1.44,"0,64+1,33",слом,0.6,0.4,0.26,0.42,,0.59,1.28,1.08,"0,71+0,21+0,12+0,10+0,13",0.35,1.38,1.22,"0,83+0,26+0,19+0,14+0,16",0.45,1.71,1.53,"1,15+0,34+0,25+0,13+0,28",0.69,1.31,1.09,"0,68+0,18+0,14+0,12+0,11",0.38,1.37,1.23,"0,81+0,26+0,22+0,11+0,16",0.51,1.7,1.57,"1,15+0,34+0,26+0,14+0,25"
