0_0;0_1;0_2;1_0;1_1;1_2;2_0;2_1;2_2
0.710;1.290;None;0.400;1.400;2.720;0.440;1.760;3.590
0.740;1.420;3.300;0.350;1.490;2.990;0.500;1.870;3.990
0.640;1.410;2.320;0.430;1.790;None;0.420;1.410;2.060
0.550;1.280;None;0.370;1.290;2.560;0.430;0.610;3.400
0.680;1.340;2.190;0.360;1.430;None;0.450;1.670;None
0.620;1.200;2.110;0.340;1.190;2.400;0.390;1.550;3.180
0.660;1.310;2.200;0.360;1.380;2.670;0.470;1.740;3.490
0.700;1.320;None;0.390;1.450;2.880;0.520;1.790;3.730
0.760;1.320;2.330;0.370;1.430;2.820;0.500;1.760;3.670
0.620;1.220;2.170;0.380;1.320;2.570;0.360;1.670;3.310
0.700;1.270;2.170;0.380;1.310;None;0.450;1.670;3.420
0.640;1.300;2.290;0.360;1.360;2.730;0.480;1.660;3.570
0.600;1.330;2.210;0.380;1.290;2.660;0.420;1.620;3.400
0.610;1.290;2.920;0.380;1.350;2.640;0.420;1.590;None
0.590;1.280;2.350;0.350;1.380;2.800;0.450;1.710;3.680
0.630;1.360;2.340;0.400;1.770;3.610;0.400;1.400;2.780
0.700;1.440;2.470;0.410;0.530;None;0.430;1.870;3.870
0.630;1.410;2.280;0.380;1.450;2.830;0.410;1.740;3.780
0.680;1.280;2.130;0.370;1.300;2.800;0.380;1.670;3.400
0.680;1.260;2.200;0.390;1.790;None;0.460;1.350;2.720
0.590;1.250;2.060;0.430;1.540;3.220;0.360;1.220;2.430
0.600;1.320;2.270;0.340;1.400;2.720;0.440;1.630;3.480
0.710;1.380;2.320;0.370;1.420;2.830;0.470;1.740;3.640
0.630;1.400;3.180;0.420;1.400;2.830;0.450;1.780;3.710
0.620;1.230;2.200;0.370;1.270;2.530;0.440;1.520;3.260
0.760;1.130;2.180;0.370;1.340;2.670;0.450;1.660;3.470
0.690;1.200;2.260;0.370;1.400;2.760;0.490;1.660;3.520
0.690;1.240;2.170;0.460;1.350;None;0.440;1.700;None
0.610;1.260;2.230;0.350;1.320;2.610;0.400;1.590;3.540
0.690;1.310;2.320;0.380;1.370;2.790;0.510;1.700;3.710
